reference,title
2022-2309I,Représentation du personnel
2022-2304I,Projets Internes Accenture
2022-2302I,Contributions internes d'intérêt général
2022-2301I,Mécénat et Solidarité
2022-2279I,Préparation et animation formations internes
2021-1328I,FY22 Contributions Internes d'Intérêt Général
2021-0569I,Aménagement COVID
2020-1456I,FY21 Contributions Internes d'Intérêt Général
2020-1200I,USI FY22
2020-1165I,Sustainability
2020-1054I,Projets Internes ACN
2019-1886I,Contributions Formations internes
2018-1205I,Mécénat & Solidarité
2018-1202I,Représentation du personnel
